"FriendlyName","Name","Class","Status","InstanceId","HID"
"USB Input Device","USB Input Device","HIDClass","Unknown","USB\VID_413C&PID_2113&MI_01\6&3155E302&0&0001","USB\VID_413C&PID_2113&REV_0110&MI_01"
"USB Input Device","USB Input Device","HIDClass","Unknown","USB\VID_413C&PID_2113&MI_01\6&3155E302&0&0001","USB\VID_413C&PID_2113&MI_01"
"Headset (E7)","Headset (E7)","AudioEndpoint","Unknown","SWD\MMDEVAPI\{0.0.1.00000000}.{2C8D069D-DA19-4B99-A3CA-0C0D46FC403D}","MMDEVAPI\AudioEndpoints"
"Motherboard resources","Motherboard resources","System","OK","ACPI\PNP0C02\0","ACPI\VEN_PNP&DEV_0C02"
"Motherboard resources","Motherboard resources","System","OK","ACPI\PNP0C02\0","ACPI\PNP0C02"
"Motherboard resources","Motherboard resources","System","OK","ACPI\PNP0C02\0","*PNP0C02"
"Motherboard resources","Motherboard resources","System","OK","ACPI\PNP0C02\5","ACPI\VEN_PNP&DEV_0C02"
"Motherboard resources","Motherboard resources","System","OK","ACPI\PNP0C02\5","ACPI\PNP0C02"
"Motherboard resources","Motherboard resources","System","OK","ACPI\PNP0C02\5","*PNP0C02"
"E7 Avrcp Transport","E7 Avrcp Transport","Bluetooth","OK","BTHENUM\{0000110E-0000-1000-8000-00805F9B34FB}_LOCALMFG&0002\7&B265E0C&0&FC58A103FDFE_C00000000","BTHENUM\{0000110e-0000-1000-8000-00805f9b34fb}_LOCALMFG&0002"
"Headphones (2- E7)","Headphones (2- E7)","AudioEndpoint","Unknown","SWD\MMDEVAPI\{0.0.0.00000000}.{07D5E60A-28EC-4F29-9C46-79A76D6E5455}","MMDEVAPI\AudioEndpoints"
"HID-compliant system controller","HID-compliant system controller","HIDClass","Unknown","HID\VID_413C&PID_2113&MI_01&COL02\7&19EDA587&0&0001","HID\VID_413C&PID_2113&REV_0110&MI_01&Col02"
"HID-compliant system controller","HID-compliant system controller","HIDClass","Unknown","HID\VID_413C&PID_2113&MI_01&COL02\7&19EDA587&0&0001","HID\VID_413C&PID_2113&MI_01&Col02"
"HID-compliant system controller","HID-compliant system controller","HIDClass","Unknown","HID\VID_413C&PID_2113&MI_01&COL02\7&19EDA587&0&0001","HID\VID_413C&UP:0001_U:0080"
"HID-compliant system controller","HID-compliant system controller","HIDClass","Unknown","HID\VID_413C&PID_2113&MI_01&COL02\7&19EDA587&0&0001","HID_DEVICE_SYSTEM_CONTROL"
"HID-compliant system controller","HID-compliant system controller","HIDClass","Unknown","HID\VID_413C&PID_2113&MI_01&COL02\7&19EDA587&0&0001","HID_DEVICE_UP:0001_U:0080"
"HID-compliant system controller","HID-compliant system controller","HIDClass","Unknown","HID\VID_413C&PID_2113&MI_01&COL02\7&19EDA587&0&0001","HID_DEVICE"
"USB Input Device","USB Input Device","HIDClass","Unknown","USB\VID_046D&PID_C52B&MI_02\6&1D8899B1&0&0002","USB\VID_046D&PID_C52B&REV_2411&MI_02"
"USB Input Device","USB Input Device","HIDClass","Unknown","USB\VID_046D&PID_C52B&MI_02\6&1D8899B1&0&0002","USB\VID_046D&PID_C52B&MI_02"
"Microsoft Streaming Service Proxy","Microsoft Streaming Service Proxy","MEDIA","Unknown","SW\{96E080C7-143C-11D1-B40F-00A0C9223196}\{3C0D501A-140B-11D1-B40F-00A0C9223196}","SW\{96E080C7-143C-11D1-B40F-00A0C9223196}"
"E7 Hands-Free AG","E7 Hands-Free AG","System","OK","BTHENUM\{0000111E-0000-1000-8000-00805F9B34FB}_LOCALMFG&0002\7&B265E0C&0&FC58FA783748_C00000000","BTHENUM\{0000111e-0000-1000-8000-00805f9b34fb}_LOCALMFG&0002"
"System timer","System timer","System","OK","ACPI\PNP0100\4&3816902A&0","ACPI\VEN_PNP&DEV_0100"
"System timer","System timer","System","OK","ACPI\PNP0100\4&3816902A&0","ACPI\PNP0100"
"System timer","System timer","System","OK","ACPI\PNP0100\4&3816902A&0","*PNP0100"
"DPMAutoInstallDriver Component Device","DPMAutoInstallDriver Component Device","SoftwareComponent","Unknown","SWD\DRIVERENUM\DPMAUTOINSTALLDRIVER_DEVICE_COMPONENT&9&23010265&0","SWC\VID_413C&PID_250E&DPMAutoInstaller"
"HID-compliant consumer control device","HID-compliant consumer control device","HIDClass","Unknown","HID\VID_046D&PID_C52B&MI_01&COL02\7&39DE0742&0&0001","HID\VID_046D&PID_C52B&REV_2411&MI_01&Col02"
"HID-compliant consumer control device","HID-compliant consumer control device","HIDClass","Unknown","HID\VID_046D&PID_C52B&MI_01&COL02\7&39DE0742&0&0001","HID\VID_046D&PID_C52B&MI_01&Col02"
"HID-compliant consumer control device","HID-compliant consumer control device","HIDClass","Unknown","HID\VID_046D&PID_C52B&MI_01&COL02\7&39DE0742&0&0001","HID\VID_046D&UP:000C_U:0001"
"HID-compliant consumer control device","HID-compliant consumer control device","HIDClass","Unknown","HID\VID_046D&PID_C52B&MI_01&COL02\7&39DE0742&0&0001","HID_DEVICE_SYSTEM_CONSUMER"
"HID-compliant consumer control device","HID-compliant consumer control device","HIDClass","Unknown","HID\VID_046D&PID_C52B&MI_01&COL02\7&39DE0742&0&0001","HID_DEVICE_UP:000C_U:0001"
"HID-compliant consumer control device","HID-compliant consumer control device","HIDClass","Unknown","HID\VID_046D&PID_C52B&MI_01&COL02\7&39DE0742&0&0001","HID_DEVICE"
"Microsoft Wi-Fi Direct Virtual Adapter","Microsoft Wi-Fi Direct Virtual Adapter","Net","OK","{5D624F94-8850-40C3-A3FA-A4FD2080BAF3}\VWIFIMP_WFD\5&1D1093CC&7&30","{5d624f94-8850-40c3-a3fa-a4fd2080baf3}\vwifimp_wfd"
"Microsoft Wi-Fi Direct Virtual Adapter #2","Microsoft Wi-Fi Direct Virtual Adapter #2","Net","OK","{5D624F94-8850-40C3-A3FA-A4FD2080BAF3}\VWIFIMP_WFD\5&1D1093CC&7&31","{5d624f94-8850-40c3-a3fa-a4fd2080baf3}\vwifimp_wfd"
"Root Print Queue","Root Print Queue","PrintQueue","OK","SWD\PRINTENUM\PRINTQUEUES","PRINTENUM\LocalPrintQueue"
"HID-compliant device","HID-compliant device","HIDClass","OK","HID\VID_1532&PID_0084&MI_01&COL05\7&337D3F2A&1&0004","HID\VID_1532&PID_0084&REV_0200&MI_01&Col05"
"HID-compliant device","HID-compliant device","HIDClass","OK","HID\VID_1532&PID_0084&MI_01&COL05\7&337D3F2A&1&0004","HID\VID_1532&PID_0084&MI_01&Col05"
"HID-compliant device","HID-compliant device","HIDClass","OK","HID\VID_1532&PID_0084&MI_01&COL05\7&337D3F2A&1&0004","HID\VID_1532&UP:0001_U:0000"
"HID-compliant device","HID-compliant device","HIDClass","OK","HID\VID_1532&PID_0084&MI_01&COL05\7&337D3F2A&1&0004","HID_DEVICE_UP:0001_U:0000"
"HID-compliant device","HID-compliant device","HIDClass","OK","HID\VID_1532&PID_0084&MI_01&COL05\7&337D3F2A&1&0004","HID_DEVICE"
"Device Information Service","Device Information Service","Bluetooth","OK","BTHLEDEVICE\{0000180A-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B35B_REV&0013_EEA0065980A5\8&16721691&0&000E","BTHLEDevice\{0000180a-0000-1000-8000-00805f9b34fb}_Dev_VID&02046d_PID&b35b_REV&0013"
"Device Information Service","Device Information Service","Bluetooth","OK","BTHLEDEVICE\{0000180A-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B35B_REV&0013_EEA0065980A5\8&16721691&0&000E","BTHLEDevice\{0000180a-0000-1000-8000-00805f9b34fb}_Dev_VID&02046d_PID&b35b"
"Device Information Service","Device Information Service","Bluetooth","OK","BTHLEDEVICE\{0000180A-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B35B_REV&0013_EEA0065980A5\8&16721691&0&000E","BTHLEDevice\{0000180a-0000-1000-8000-00805f9b34fb}_LOCALMFG&0002"
"Volume Manager","Volume Manager","System","OK","ROOT\VOLMGR\0000","ROOT\VOLMGR"
"Airoha_APP","Airoha_APP",,"OK","BTHENUM\{00000000-0000-0000-0099-AABBCCDDEEFF}_VID&00010094_PID&0004\7&B265E0C&0&6C47604EDC78_C00000000","BTHENUM\{00000000-0000-0000-0099-aabbccddeeff}_VID&00010094_PID&0004"
"Airoha_APP","Airoha_APP",,"OK","BTHENUM\{00000000-0000-0000-0099-AABBCCDDEEFF}_VID&00010094_PID&0004\7&B265E0C&0&6C47604EDC78_C00000000","BTHENUM\{00000000-0000-0000-0099-aabbccddeeff}_LOCALMFG&0002"
"Generic PnP Monitor","Generic PnP Monitor","Monitor","Unknown","DISPLAY\GSM774F\5&1ECD3B42&6&UID774401","MONITOR\GSM774F"
"Generic PnP Monitor","Generic PnP Monitor","Monitor","Unknown","DISPLAY\GSM774F\5&1ECD3B42&6&UID774403","MONITOR\GSM774F"
"Generic PnP Monitor","Generic PnP Monitor","Monitor","Unknown","DISPLAY\GSM774F\5&1ECD3B42&6&UID774405","MONITOR\GSM774F"
"Generic PnP Monitor","Generic PnP Monitor","Monitor","Unknown","DISPLAY\GSM774F\5&1ECD3B42&6&UID774407","MONITOR\GSM774F"
"USB Input Device","USB Input Device","HIDClass","Unknown","USB\VID_046D&PID_C534&MI_01\7&13B8B4BC&0&0001","USB\VID_046D&PID_C534&REV_2901&MI_01"
"USB Input Device","USB Input Device","HIDClass","Unknown","USB\VID_046D&PID_C534&MI_01\7&13B8B4BC&0&0001","USB\VID_046D&PID_C534&MI_01"
"Bluetooth Peripheral Device","Bluetooth Peripheral Device",,"OK","BTHENUM\{00001800-0000-1000-8000-00805F9B34FB}_VID&0001000F_PID&1200\7&B265E0C&0&2CFDB3C85F48_C00000000","BTHENUM\{00001800-0000-1000-8000-00805f9b34fb}_VID&0001000f_PID&1200"
"Bluetooth Peripheral Device","Bluetooth Peripheral Device",,"OK","BTHENUM\{00001800-0000-1000-8000-00805F9B34FB}_VID&0001000F_PID&1200\7&B265E0C&0&2CFDB3C85F48_C00000000","BTHENUM\{00001800-0000-1000-8000-00805f9b34fb}_LOCALMFG&0002"
"Logitech Download Assistant","Logitech Download Assistant","HIDClass","OK","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B35B_REV&0013_EEA0065980A5&COL03\9&31D1F8C4&0&0002","HID\{00001812-0000-1000-8000-00805f9b34fb}_Dev_VID&02046d_PID&b35b_REV&0013&Col03"
