"Name","InstanceId","Status","Class","FriendlyName","HardwareID"
"USB Input Device","USB\VID_413C&PID_2113&MI_01\6&3155E302&0&0001","Unknown","HIDClass","USB Input Device","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 PCU Registers - 2081","PCI\VEN_8086&DEV_2081&SUBSYS_07381028&REV_04\3&2411E6FE&0&F1","OK","System","Intel(R) Xeon(R) processor P family/Core i7 PCU Registers - 2081","System.String[]"
"Headset (E7)","SWD\MMDEVAPI\{0.0.1.00000000}.{2C8D069D-DA19-4B99-A3CA-0C0D46FC403D}","Unknown","AudioEndpoint","Headset (E7)","System.String[]"
"Wi-Fi","SWD\RADIO\{459C52C6-8A4D-426E-ADB6-863597916431}","Unknown","SoftwareDevice","Wi-Fi",
"Intel(R) Xeon(R) processor P family/Core i7 M2PCI Registers - 2018","PCI\VEN_8086&DEV_2018&SUBSYS_00000000&REV_04\3&3AA59A3&0&B8","OK","System","Intel(R) Xeon(R) processor P family/Core i7 M2PCI Registers - 2018","System.String[]"
"E7","BTHENUM\DEV_FC58A103FDFE\7&B265E0C&0&BLUETOOTHDEVICE_FC58A103FDFE","OK","Bluetooth","E7","System.String[]"
"MX Master 3S","BTHLE\DEV_D0EEF6C87894\7&21DBA774&0&D0EEF6C87894","OK","Bluetooth","MX Master 3S","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 RAS - 2025","PCI\VEN_8086&DEV_2025&SUBSYS_00000000&REV_04\3&11583659&0&2A","OK","System","Intel(R) Xeon(R) processor P family/Core i7 RAS - 2025","System.String[]"
"Motherboard resources","ACPI\PNP0C02\0","OK","System","Motherboard resources","System.String[]"
"Motherboard resources","ACPI\PNP0C02\5","OK","System","Motherboard resources","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 LMDP Channel 1 - 2047","PCI\VEN_8086&DEV_2047&SUBSYS_07381028&REV_04\3&36CB97A3&0&57","OK","System","Intel(R) Xeon(R) processor P family/Core i7 LMDP Channel 1 - 2047","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 LMDP Channel 1 - 2047","PCI\VEN_8086&DEV_2047&SUBSYS_07381028&REV_04\3&36CB97A3&0&67","OK","System","Intel(R) Xeon(R) processor P family/Core i7 LMDP Channel 1 - 2047","System.String[]"
"E7 Avrcp Transport","BTHENUM\{0000110E-0000-1000-8000-00805F9B34FB}_LOCALMFG&0002\7&B265E0C&0&FC58A103FDFE_C00000000","OK","Bluetooth","E7 Avrcp Transport","System.String[]"
"Headphones (2- E7)","SWD\MMDEVAPI\{0.0.0.00000000}.{07D5E60A-28EC-4F29-9C46-79A76D6E5455}","Unknown","AudioEndpoint","Headphones (2- E7)","System.String[]"
"High Definition Audio Controller","PCI\VEN_10DE&DEV_0E08&SUBSYS_102F103C&REV_A1\4&A9E70BA&0&01E5","OK","System","High Definition Audio Controller","System.String[]"
"HID-compliant system controller","HID\VID_413C&PID_2113&MI_01&COL02\7&19EDA587&0&0001","Unknown","HIDClass","HID-compliant system controller","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 Ubox Registers - 2015","PCI\VEN_8086&DEV_2015&SUBSYS_07381028&REV_04\3&11583659&0&41","OK","System","Intel(R) Xeon(R) processor P family/Core i7 Ubox Registers - 2015","System.String[]"
"MX Keys","BTHLE\DEV_EEA0065980A5\7&21DBA774&0&EEA0065980A5","OK","Bluetooth","MX Keys","System.String[]"
"USB Input Device","USB\VID_046D&PID_C52B&MI_02\6&1D8899B1&0&0002","Unknown","HIDClass","USB Input Device","System.String[]"
"Microsoft Streaming Service Proxy","SW\{96E080C7-143C-11D1-B40F-00A0C9223196}\{3C0D501A-140B-11D1-B40F-00A0C9223196}","Unknown","MEDIA","Microsoft Streaming Service Proxy","System.String[]"
"E7 Hands-Free AG","BTHENUM\{0000111E-0000-1000-8000-00805F9B34FB}_LOCALMFG&0002\7&B265E0C&0&FC58FA783748_C00000000","OK","System","E7 Hands-Free AG","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 RAS Configuration Registers - 2035","PCI\VEN_8086&DEV_2035&SUBSYS_00000000&REV_04\3&2411E6FE&0&2A","OK","System","Intel(R) Xeon(R) processor P family/Core i7 RAS Configuration Registers - 2035","System.String[]"
"System timer","ACPI\PNP0100\4&3816902A&0","OK","System","System timer","System.String[]"
"DPMAutoInstallDriver Component Device","SWD\DRIVERENUM\DPMAUTOINSTALLDRIVER_DEVICE_COMPONENT&9&23010265&0","Unknown","SoftwareComponent","DPMAutoInstallDriver Component Device","System.String[]"
"NVIDIA NVS 315","PCI\VEN_10DE&DEV_107C&SUBSYS_102F103C&REV_A1\4&A9E70BA&0&00E5","Error","Display","NVIDIA NVS 315","System.String[]"
"HID-compliant consumer control device","HID\VID_046D&PID_C52B&MI_01&COL02\7&39DE0742&0&0001","Unknown","HIDClass","HID-compliant consumer control device","System.String[]"
"Microsoft Wi-Fi Direct Virtual Adapter","{5D624F94-8850-40C3-A3FA-A4FD2080BAF3}\VWIFIMP_WFD\5&1D1093CC&7&30","OK","Net","Microsoft Wi-Fi Direct Virtual Adapter","System.String[]"
"Microsoft Wi-Fi Direct Virtual Adapter #2","{5D624F94-8850-40C3-A3FA-A4FD2080BAF3}\VWIFIMP_WFD\5&1D1093CC&7&31","OK","Net","Microsoft Wi-Fi Direct Virtual Adapter #2","System.String[]"
"Root Print Queue","SWD\PRINTENUM\PRINTQUEUES","OK","PrintQueue","Root Print Queue","System.String[]"
"HID-compliant device","HID\VID_1532&PID_0084&MI_01&COL05\7&337D3F2A&1&0004","OK","HIDClass","HID-compliant device","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 IOAPIC - 2026","PCI\VEN_8086&DEV_2026&SUBSYS_07381028&REV_04\3&11583659&0&2C","OK","System","Intel(R) Xeon(R) processor P family/Core i7 IOAPIC - 2026","System.String[]"
"Device Information Service","BTHLEDEVICE\{0000180A-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B35B_REV&0013_EEA0065980A5\8&16721691&0&000E","OK","Bluetooth","Device Information Service","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 IOxAPIC Configuration Registers - 2036","PCI\VEN_8086&DEV_2036&SUBSYS_07381028&REV_04\3&2411E6FE&0&2C","OK","System","Intel(R) Xeon(R) processor P family/Core i7 IOxAPIC Configuration Registers - 2036","System.String[]"
"Volume Manager","ROOT\VOLMGR\0000","OK","System","Volume Manager","System.String[]"
"Airoha_APP","BTHENUM\{00000000-0000-0000-0099-AABBCCDDEEFF}_VID&00010094_PID&0004\7&B265E0C&0&6C47604EDC78_C00000000","OK",,"Airoha_APP","System.String[]"
"Generic PnP Monitor","DISPLAY\GSM774F\5&1ECD3B42&6&UID774401","Unknown","Monitor","Generic PnP Monitor","System.String[]"
